genome	region	cds_before	cds_after	cds_delta	product_before	product_after	family_before	family_after
Pantoea_ananatis_BAV3127	JASHLO010000001.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_BAV3127	JASHLO010000001.1.region002.gbk	26	26	0	phosphonate	phosphonate		3
Pantoea_ananatis_BD442	JMJL01000004.1.region001.gbk	11	11	0	phosphonate	phosphonate		4
Pantoea_ananatis_BRT98	AYST01000002.1.region001.gbk	16	16	0	phosphonate	phosphonate		2
Pantoea_ananatis_CSUP3	CM194831.1.region001.gbk	9	9	0	phosphonate	phosphonate		1
Pantoea_ananatis_Cit30-11	JXUI01000022.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_DAR_76143_DAR76143	BATH01000003.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_DAR_76143_DAR76143	BATH01000055.1.region001.gbk	7	7	0	phosphonate	phosphonate		1
Pantoea_ananatis_DZ-12	RQJN01000001.1.region001.gbk	13	13	0	phosphonate	phosphonate		2
Pantoea_ananatis_F-C2	SMZS01000005.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_FU-01	AP019753.1.region001.gbk	13	13	0	phosphonate	phosphonate		2
Pantoea_ananatis_GCA_987119705.1	OZ496979.1.region001.gbk	9	9	0	phosphonate	phosphonate		1
Pantoea_ananatis_GD04167	JAODYK010000017.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_IPG26	JAQNAK010000007.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_J-2	JBNFPX010000006.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_J15-6	JBSPZW010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_JBR-LB3-16	CP090356.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_JEL0891	JBYHZL010000009.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_JEL0892	JBYHZK010000001.1.region001.gbk	13	13	0	phosphonate	phosphonate		2
Pantoea_ananatis_LMG_20103	CP001875.2.region001.gbk	13	13	0	phosphonate	phosphonate		2
Pantoea_ananatis_LMG_2665	JFZU01000015.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_LMG_2665_2	JMJJ01000006.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_LMG_5342	HE617160.1.region001.gbk	14	14	0	phosphonate	phosphonate		2
Pantoea_ananatis_LMG_5342	HE617160.1.region002.gbk	28	28	0	phosphonate	phosphonate		3
Pantoea_ananatis_LPP-1	CP166503.1.region001.gbk	11	11	0	phosphonate	phosphonate		2
Pantoea_ananatis_M232A	LYOP01000033.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_MMB-1	JAABOW010000002.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_MMB-1	JAABOW010000009.1.region001.gbk	26	26	0	phosphonate	phosphonate		3
Pantoea_ananatis_NFIX48	FUXY01000003.1.region001.gbk	13	13	0	phosphonate	phosphonate		2
Pantoea_ananatis_NFR11	FPJM01000001.1.region001.gbk	25	25	0	phosphonate	phosphonate		3
Pantoea_ananatis_NFR11	FPJM01000004.1.region001.gbk	13	13	0	phosphonate	phosphonate		2
Pantoea_ananatis_OC5a	CP059084.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_P1A3	JBMUJK010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PA13	CP003085.1.region001.gbk	13	13	0	phosphonate	phosphonate		2
Pantoea_ananatis_PA13	CP003085.1.region002.gbk	10	10	0	phosphonate	phosphonate		1
Pantoea_ananatis_PANS_01-2	NMZU01000003.1.region001.gbk	12	12	0	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_02-01	QRDI01000007.1.region001.gbk	32	31	-1	phosphonate	phosphonate		2
Pantoea_ananatis_PANS_02-01	QRDI01000020.1.region001.gbk	12	12	0	phosphonate	phosphonate		1
Pantoea_ananatis_PANS_04-2	NMZV01000004.1.region001.gbk	11	11	0	phosphonate	phosphonate		1
