genome	region	cds_before	cds_after	cds_delta	product_before	product_after	family_before	family_after
Pantoea_allii_21GA0466	JBNUME010000010.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_21GA0550	JBNUMF010000007.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_21GA0582	JBNUMG010000005.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_BAV3051	JBNUMM010000006.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_allii_BAV3052	CP193909.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_allii_BAV3060	JBNUMN010000006.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_allii_BAV3063	JBNUMO010000006.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_allii_BAV3069	JBNUMP010000042.1.region001.gbk	8	8	0	phosphonate	phosphonate	2	2
Pantoea_allii_BAV3070	JBNUMQ010000007.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_allii_BAV3073	JBNUMR010000006.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_allii_BAV3074	JBNUMS010000008.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_allii_BD_381	JAHVYA010000003.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_BD_382	JAHVXZ010000003.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_BD_383	JAHVXY010000003.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_BD_386	JAHVXX010000001.1.region001.gbk	13	14	1	phosphonate	phosphonate	1	8
Pantoea_allii_BD_387	JAHVXW010000002.1.region001.gbk	13	14	1	phosphonate	phosphonate	1	8
Pantoea_allii_BD_388	JAHVXV010000002.1.region001.gbk	13	14	1	phosphonate	phosphonate	1	8
Pantoea_allii_BD_389	JAHVXU010000003.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_DOAB1035	JBNUMH010000001.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_DOAB1035_LMG24202	CP193913.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_DOAB1036	JBNUMI010000001.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_DOAB1050	JABLUS010000039.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_DOAB1050_2	CP193926.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_DOAB1051	CP193925.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_allii_Eh250	CP125959.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_allii_KB4	JCBORL010000001.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_LMG24248	CP193910.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_LMG_24248	MLFE01000001.1.region001.gbk	12	13	1	phosphonate	phosphonate	1	8
Pantoea_allii_LMG_24248_2	NTMH01000040.1.region001.gbk	13	14	1	phosphonate	phosphonate	1	8
Pantoea_allii_MAI6004	JBNUMJ010000005.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_MAI6006	JBNUMK010000004.1.region001.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_MAI6022	CP193916.1.region001.gbk	23	26	3	phosphonate	phosphonate	5	4
Pantoea_allii_MAI6022	CP193916.1.region002.gbk	13	13	0	phosphonate	phosphonate	1	8
Pantoea_allii_O64c	CP126315.1.region001.gbk	13	13	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_02-12	JALKJI010000001.1.region001.gbk	25	25	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_02-12	JALKJI010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_02-12_2	JALKLJ010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_03-1	JALKLK010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_05-1	JALKLM010000007.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_06-1	JALKJH010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_06-4	JALKLY010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_07-1	JALKLN010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_07-10	JALKLO010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_07-13	JALKJP010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_07-14	JALKKT010000005.1.region001.gbk	28	28	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_07-7	JALKJQ010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_08-1	JALKKU010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_1-2	JALKKR010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_1-5	JALKKL010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_1-6	JALKKM010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_117T1	JBSPZY010000001.1.region001.gbk	25	26	1	phosphonate	phosphonate	5	4
Pantoea_ananatis_117T1	JBSPZY010000003.1.region001.gbk	27	29	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_13-1	JALKIW010000013.1.region001.gbk	8	8	0	phosphonate	phosphonate	7	6
Pantoea_ananatis_13.3	JAUHJW010000002.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_141	CM135103.1.region001.gbk	9	9	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_15-1	JALKKP010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_18-1	JALKJR010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_18-2	JALKKQ010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_18-3S	JALKJS010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
