task_id	hash	name	status	exit	submit	start	complete	realtime	cpus	memory	peak_rss	peak_vmem	%cpu	%mem	rchar	wchar
78	db/7aeb00	BGC_ANALYSIS:CLUSTERING:EXTRACT_GCF_REPRESENTATIVES (Erwiniaceae)	COMPLETED	0	2026-09-22 17:56:15.100	2026-09-22 17:56:15.132	2026-09-22 17:56:40.852	23.4s	1	2 GB	150.5 MB	2.4 GB	108.0%	0.2%	2.5 GB	1.1 MB
77	0c/8b6f37	BGC_ANALYSIS:PEPM_ALL_BY_ALL (Erwiniaceae)	COMPLETED	0	2026-09-22 17:56:40.860	2026-09-22 17:56:40.953	2026-09-22 17:57:12.590	30.1s	4	8 GB	71.8 MB	2.2 GB	107.7%	0.1%	3.6 GB	6 MB
79	97/68d31e	BGC_ANALYSIS:BRANCH_POINT_PREDICTION (Erwiniaceae)	COMPLETED	0	2026-09-22 17:57:12.619	2026-09-22 17:57:12.690	2026-09-22 17:57:19.736	5s	4	8 GB	66 MB	4.6 GB	258.4%	0.1%	83.6 MB	6.1 MB
76	e7/f2a652	BGC_ANALYSIS:GCF_ANNOTATION_TRANSFER (Erwiniaceae)	COMPLETED	0	2026-09-22 17:57:19.775	2026-09-22 17:57:19.836	2026-09-22 17:57:43.482	21.5s	4	8 GB	245.7 MB	3.8 GB	315.6%	0.4%	128.1 MB	59.8 MB
75	b9/d86626	BGC_ANALYSIS:PHYLOGENY:GTDBTK_CLASSIFY (Erwiniaceae shard 1883800215)	COMPLETED	0	2026-09-22 17:56:15.065	2026-09-22 17:56:15.129	2026-09-22 19:19:21.415	1h 23m 4s	8	48 GB	104 GB	222 GB	189.2%	168.6%	239.6 GB	11.4 GB
82	4b/bfb9b8	BGC_ANALYSIS:PHYLOGENY:MERGE_GTDBTK (Erwiniaceae)	COMPLETED	0	2026-09-22 19:19:25.021	2026-09-22 19:19:25.046	2026-09-22 19:19:25.091	15ms	1	2 GB	3.2 MB	4.6 MB	152.4%	0.0%	1.6 MB	859 KB
83	32/cef628	BGC_ANALYSIS:COLLECT_VERSIONS (versions)	COMPLETED	0	2026-09-22 19:19:25.604	2026-09-22 19:19:25.693	2026-09-22 19:19:35.249	7.2s	1	2 GB	181 MB	2.4 GB	125.2%	0.3%	110.7 MB	2.8 KB
81	17/88b221	BGC_ANALYSIS:CLUSTERING:BIGSCAPE_REFERENCES (Erwiniaceae)	COMPLETED	0	2026-09-22 19:19:21.882	2026-09-22 19:19:21.914	2026-09-22 19:19:48.945	23.3s	8	32 GB	16 GB	38.1 GB	175.4%	28.0%	2.6 GB	191.3 MB
84	55/84c94a	BGC_ANALYSIS:GCF_BIOSYNTHETIC_TREE (Erwiniaceae)	COMPLETED	0	2026-09-22 19:19:25.509	2026-09-22 19:19:25.592	2026-09-22 19:21:00.155	1m 32s	4	8 GB	187 MB	2.3 GB	107.9%	0.3%	10.2 GB	1.4 MB
85	36/08d9ce	BGC_ANALYSIS:NOVELTY_SCORE (Erwiniaceae)	COMPLETED	0	2026-09-22 19:21:00.224	2026-09-22 19:21:00.255	2026-09-22 19:21:00.444	158ms	1	2 GB	11.8 MB	18.6 MB	70.6%	0.0%	6.3 MB	2.8 KB
86	4e/1ada44	BGC_ANALYSIS:VISUALIZE_RESULTS (Erwiniaceae)	COMPLETED	0	2026-09-22 19:21:00.574	2026-09-22 19:21:00.646	2026-09-22 19:21:03.162	1.6s	4	8 GB	114.8 MB	2.4 GB	169.0%	0.2%	61.8 MB	5.2 MB
